"relative_path","area","artifact_kind","bytes","lines","sha256"
"app/app-transaction-type-db2/bms/COTRTUP.bms","optional-transaction-type-db2","BMS map source","8460","137","32cf464a74182953b023e3123252c11fcb466eb43b0040cb50aef1287ce778d4"
"app/app-transaction-type-db2/cbl/COBTUPDT.cbl","optional-transaction-type-db2","COBOL source","19434","237","0bd7b826bf1ebaad053e71a9f78083fdeddcf60d144ad90efa5d20f97e0838b7"
"app/app-transaction-type-db2/cbl/COTRTLIC.cbl","optional-transaction-type-db2","COBOL source","87627","2098","2960cf84c1e4d9cc57d4436303bf44b75d4ff9cdd3fbdef2bfc536a886dc1390"
"app/app-transaction-type-db2/cbl/COTRTUPC.cbl","optional-transaction-type-db2","COBOL source","139564","1702","2480bde135c756c86b53837d2d6bc93a62b7c8b6ef6651f102114600581d9c7f"
"app/app-transaction-type-db2/cpy/CSDB2RPY.cpy","optional-transaction-type-db2","COBOL copybook or generated BMS copybook","7012","89","80c86b99701be42f7310eea8d766891876861f9ea97cf69967aefe8f3cf2c325"
"app/app-transaction-type-db2/cpy/CSDB2RWY.cpy","optional-transaction-type-db2","COBOL copybook or generated BMS copybook","3722","46","1526543837624a38e78a1e5eb423f36227aa8bfd09bdff2685260a2db2269443"
"app/app-transaction-type-db2/cpy-bms/COTRTLI.cpy","optional-transaction-type-db2","COBOL copybook or generated BMS copybook","20186","500","09f8ca0d0272c0f2b46e53a3b6f1937da071c62bc27e68374ee3d38d243eb59a"
"app/app-transaction-type-db2/cpy-bms/COTRTUP.cpy","optional-transaction-type-db2","COBOL copybook or generated BMS copybook","8340","200","93b453ea5eb93d29e33068d6b94e8c1aa5395c62a0f40a293b94d7acb2f60774"
"app/app-transaction-type-db2/csd/CRDDEMOD.csd","optional-transaction-type-db2","CICS resource definitions","3562","60","8d46409deebc9d4cb0dd7def65e5b9eb318389c56e2e9652a53d2c750685c90e"
"app/app-transaction-type-db2/ctl/DB2CREAT.ctl","optional-transaction-type-db2","utility control statements","3292","106","fc0a9751863c267b63fec9560ef47cacda6d857a06d76556b8b56a0ca3b9d0ad"
"app/app-transaction-type-db2/ctl/DB2FREE.ctl","optional-transaction-type-db2","utility control statements","1091","19","5e0155cc263f01f34486a8a9fee34b6e5ab3a2eeda3f3d69409424c8cd37d1cf"
"app/app-transaction-type-db2/ctl/DB2LTCAT.ctl","optional-transaction-type-db2","utility control statements","2469","39","c22c097b6be78d68e281037a30e1a0dcb18a8971dbea35a8b90a6b2e912f6e95"
"app/app-transaction-type-db2/ctl/DB2LTTYP.ctl","optional-transaction-type-db2","utility control statements","1502","24","34fecbc52cd0c29e2b1efc773e38202da7290bb1feb89aae91b9c37c147005e1"
"app/app-transaction-type-db2/ctl/DB2TEP41.ctl","optional-transaction-type-db2","utility control statements","1089","18","61d12325e772661219f8c6e4ec08bb776eb52d3bc0d2768c4c92c5b8e153998f"
"app/app-transaction-type-db2/ctl/DB2TIAD1.ctl","optional-transaction-type-db2","utility control statements","1056","17","59a18c209916b8ccba8f43417cb46f5df6e86c7ea5568ea9389e19b9bc4ae4af"
"app/app-transaction-type-db2/ctl/REPROCT.ctl","optional-transaction-type-db2","utility control statements","1076","15","3ceeb621fc3c24b249aedd2126a77d3ae665a6586fa28a6c125ed21492fc49b7"
"app/app-transaction-type-db2/dcl/DCLTRCAT.dcl","optional-transaction-type-db2","Db2 declaration copybook","3598","54","59d4b3dbf34f7f8a35962548c2d39f03d22d948281092cabf6bdf901937e5852"
"app/app-transaction-type-db2/dcl/DCLTRTYP.dcl","optional-transaction-type-db2","Db2 declaration copybook","3336","49","7fbce2671ea55ebd9874eba2ba7b1f11b189a074b5bd6f12e6e1158e592cebc6"
"app/app-transaction-type-db2/ddl/TRNTYCAT.ddl","optional-transaction-type-db2","Db2 DDL","386","7","04adba5b81a07de44f243191b5bda6634cc08b176bbf8bd592fe2882c2368b9b"
"app/app-transaction-type-db2/ddl/TRNTYPE.ddl","optional-transaction-type-db2","Db2 DDL","178","4","f3c88629e0be01ae212389db6d1fe46aa6d170395b50c22f8c6f916c2e54ce14"
"app/app-transaction-type-db2/ddl/XTRNTYCAT.ddl","optional-transaction-type-db2","Db2 DDL","176","5","9f06f0b2c311a4c1028473cf9860925457c8d4ff827e5e40ed269ba3ff0b389c"
"app/app-transaction-type-db2/ddl/XTRNTYPE.ddl","optional-transaction-type-db2","Db2 DDL","161","5","199f21ed9c6ae5b6f8d31089bcc106c716db41d80958bc83687a5b165bc44d5c"
"app/app-transaction-type-db2/jcl/CREADB21.jcl","optional-transaction-type-db2","JCL","6888","84","88b81b1d8530037d1661321e47600b9afb2a2cf4894c7eefeacd5aff07b87d69"
"app/app-transaction-type-db2/jcl/MNTTRDB2.jcl","optional-transaction-type-db2","JCL","1828","30","beaba6e4e35092c2ac7c1be7a3708303cc75d0fca00b64c65ee2d2bc1682f893"
"app/app-transaction-type-db2/jcl/TRANEXTR.jcl","optional-transaction-type-db2","JCL","4829","122","d4d3b99a71b91fbce9c145283642ee7ca31b5ad7fa51ddcdb3e2c0b2e530457f"
"app/app-transaction-type-db2/README.md","optional-transaction-type-db2","repository documentation","6971","149","0089f5e08181fababd450b54ab896e4a502c426a05812c45359ba5d29c9efe42"
"app/app-vsam-mq/cbl/COACCT01.cbl","optional-vsam-mq","COBOL source","50840","620","48ef514ed7d20530695e24c5de98d3f08655e0b41a12d4442591ef42b026236a"
"app/app-vsam-mq/cbl/CODATE01.cbl","optional-vsam-mq","COBOL source","42968","524","940c08e32dba675da3f5558c722d4cd02191322c9ed294f0821479c410828131"
"app/app-vsam-mq/csd/CRDDEMOM.csd","optional-vsam-mq","CICS resource definitions","2421","41","6730205ee8ca6a573c8878c73f7639c43a3ff6bf2569db67b277a73693d9bd4e"
"app/app-vsam-mq/README.md","optional-vsam-mq","repository documentation","5055","144","080a2407c835f0188a5975ef75ff59efd46884d1b77bb7c28587849066ed6ff5"
"app/asm/COBDATFT.asm","core-application","assembler source","2494","84","f0f69d4e8a3cd5b378ded9bd9dd4175d5d4c971762b6be82ee4f29ee0ab8dfce"
